pipeline,question,qtype,generated_answer,ground_truth,blocked,latency_ms,word_overlap,safety_compliance,num_docs,expanded_queries,ragas_faithfulness,ragas_answer_relevance,ragas_context_precision,ragas_context_recall,deepeval_hallucination,deepeval_relevance,failure_missing_evidence,failure_noisy_evidence,failure_unsupported_claims,failure_unsafe_tone,rouge1_f,rougeL_f
P3_Multi_Query_Expansion,How to diagnose Plasma Cell Neoplasms (Including Multiple Myeloma) ?,diagnosis,"Plasma cell neoplasms, including multiple myeloma, are diagnosed through a combination of tests that examine the blood, bone marrow, and urine. The diagnosis may be suspected based on characteristic signs and symptoms, followed by additional testing to confirm the diagnosis. The tests may include:

1. Specialized blood tests, including immunoglobulin studies, complete blood count with differential, and blood chemistry studies.
2. Urine tests, such as immunoglobulin studies and a twenty-four-hour urine test.
3. Bone marrow aspiration and biopsy.
4. Imaging studies, such as X-rays (skeletal bone survey), MRI, CT scan, and/or PET scan.

In some cases, multiple myeloma may be diagnosed by chance when a blood test or urine test is ordered for another condition, especially if there are no suspicious signs or symptoms present initially. 

Please consult a qualified healthcare professional before making any clinical decisions.","Tests that examine the blood, bone marrow, and urine are used to detect (find) and diagnose multiple myeloma and other plasma cell neoplasms. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken.    -  Blood and urine immunoglobulin studies: A procedure in which a blood or urine sample is checked to measure the amounts of certain antibodies (immunoglobulins). For multiple myeloma, beta-2-microglobulin, M protein, free light chains, and other proteins made by the myeloma cells are measured. A higher-than-normal amount of these substances can be a sign of disease.    -   Bone marrow aspiration and biopsy : The removal of bone marrow, blood, and a small piece of bone by inserting a hollow needle into the hipbone or breastbone. A pathologist views the bone marrow, blood, and bone under a microscope to look for abnormal cells. The following test may be done on the sample of tissue removed during the bone marrow aspiration and biopsy:                -  Cytogenetic analysis : A test in which cells in a sample of bone marrow are viewed under a microscope to look for certain changes in the chromosomes. Other tests, such as fluorescence in situ hybridization (FISH) and flow cytometry, may also be done to look for certain changes in the chromosomes.             -   Skeletal bone survey: In a skeletal bone survey, x-rays of all the bones in the body are taken. The x-rays are used to find areas where the bone is damaged. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body.     -   Complete blood count (CBC) with differential : A procedure in which a sample of blood is drawn and checked for the following:               - The number of red blood cells and platelets.      - The number and type of white blood cells.      - The amount of hemoglobin (the protein that carries oxygen) in the red blood cells.      -  The portion of the blood sample made up of red blood cells.               -   Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances, such as calcium or albumin, released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease.    -  Twenty-four-hour urine test: A test in which urine is collected for 24 hours to measure the amounts of certain substances. An unusual (higher or lower than normal) amount of a substance can be a sign of disease in the organ or tissue that makes it. A higher than normal amount of protein may be a sign of multiple myeloma.     -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI). An MRI of the spine and pelvis may be used to find areas where the bone is damaged.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the spine, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.     -   PET-CT scan : A procedure that combines the pictures from a positron emission tomography (PET) scan and a computed tomography (CT) scan. The PET and CT scans are done at the same time with the same machine. The combined scans give more detailed pictures of areas inside the body, such as the spine, than either scan gives by itself.",False,7528.1,0.18702290076335878,0.24,9,4,0.9333333333333333,0.9003213806643611,0.9999999999888889,0.5833333333333334,0.0,0.9230769230769231,False,False,False,False,0.24444444444444446,0.1358024691358025
P3_Multi_Query_Expansion,What causes Thanatophoric dysplasia ?,causes,"Thanatophoric dysplasia is caused by mutations in the FGFR3 gene. These mutations lead to the FGFR3 protein being overly active, which results in severe disturbances in bone growth characteristic of the condition. It is not known how FGFR3 mutations cause the brain and skin abnormalities associated with thanatophoric dysplasia. According to the provided context, both types of this condition result from mutations in the FGFR3 gene. 

Please consult a qualified healthcare professional before making any clinical decisions.","What causes thanatophoric dysplasia? Thanatophoric dysplasia is caused by mutations in the FGFR3 gene. This gene provides instructions for making a protein that is involved in the development and maintenance of bone and brain tissue. Mutations in this gene cause the FGFR3 protein to be overly active, which leads to the severe problems with bone growth that are seen in thanatophoric dysplasia. It is not known how FGFR3 mutations cause the brain and skin abnormalities associated with this disorder.",False,7508.8,0.6538461538461539,0.24,5,4,0.8333333333333334,0.0,0.999999999975,0.8,0.0,1.0,False,True,False,False,0.6666666666666666,0.4743589743589744
P3_Multi_Query_Expansion,Is Henoch-Schonlein purpura inherited ?,causes,"Yes, Henoch-Schonlein purpura (HSP) has several forms of inheritance. Genetics may increase the risk of HSP, as it has occurred in different members of the same family, including in twins. However, not all children in a family will necessarily develop symptoms, although they may be carriers of the abnormal gene. Symptoms may begin in childhood or adulthood, depending on the particular HSP gene involved. 

Please consult a qualified healthcare professional before making any clinical decisions.",Can Henoch-Schonlein purpura be inherited? The cause of Henoch-Schonlein purpura is currently unknown.  Some evidence suggests that genetic predisposition may contribute to the development of this disease in some cases.  Only a few families with multiple relatives affected by HSP have been reported in the medical literature.  The association between particular genes and a slight increase in the chance of developing HSP has not been proven.,False,6365.9,0.25,0.24,7,4,0.9,0.0,0.8055555555287036,0.8,0.7142857142857143,0.75,False,True,False,False,0.3888888888888889,0.2222222222222222
P3_Multi_Query_Expansion,What are the treatments for Pineal cyst ?,treatment,The provided context does not contain enough information to answer this question reliably. Please consult a qualified healthcare professional before making any clinical decisions.,"How might pineal cysts be treated? The best treatment options for pineal cysts depend on many factors, including the size of the cyst and whether or not it is associated with symptoms. For example, people with pineal cysts that do not cause symptoms may not require any form of treatment. However, they may need to have regular check-ups with a physician and follow up imaging if they have a large cyst (greater than 10-14 mm) or develop symptoms that could be related to the cyst. Treatment is often recommended for those individuals with pineal cysts that cause hydrocephalus; neurological symptoms such as headache or disturbance of vision; or enlargement of the cyst over time. Treatment may include surgery to remove the cyst, sometimes followed by the placement of a ventriculoperitoneal shunt. Aspiration of the contents of the cyst using ultrasound guidance has been explored as an alternative approach to surgery, and more recently, endoscopic procedures have been used. Radiation therapy may be recommended for cysts that recur after treatment. What is the appropriate follow-up for a pineal cyst found incidentally on MRI? There is limited information about what happens to a pineal cyst over time.  Several studies have shown that most pineal cysts remain stable and do not increase in size or cause symptoms later in life.  One study found that larger cysts were more likely to decrease in size over time, and there is currently no evidence that larger cysts are more likely to cause symptoms.   Because guidelines for management depend on an understanding of the typical course of a condition, and currently there is limited information about pineal cysts, there is some debate about the most appropriate way to manage these cysts.  Some studies do not recommend repeated magnetic resonance imaging (MRI) of the cyst.  Other studies state that repeated imaging of a pineal cyst is not required.  Another approach is for individuals with a pineal cyst to have regular check-ups with their personal doctor; if at any point new symptoms arise that may be related to the pineal cyst, repeat imaging should be done.",False,5401.6,0.03508771929824561,0.16,6,4,0.5,0.0,0.9999999999833333,0.75,0.0,0.5,False,True,False,False,0.032,0.032
P3_Multi_Query_Expansion,What causes Proud syndrome ?,causes,"Proud syndrome is caused by changes (mutations) in the ARX gene. According to the provided context, it is inherited in an X-linked recessive manner. Please consult a qualified healthcare professional before making any clinical decisions.","What causes Proud syndrome? Proud syndrome is caused by changes (mutations) in the ARX gene, which encodes a protein that regulates the activity of other genes. This protein is especially important during early embryonic development since it is thought to be involved in the formation of many different body structures such as the pancreas, testes, brain, and muscles used for movement (skeletal muscles). For example, the protein helps regulate the process by which cells mature to carry out specific functions (differentiation) within the pancreas, testes, and muscles. In the developing brain, it plays many different roles such as assisting with the movement of neurons to their final locations. Specific changes in the ARX gene impair the function of the protein, which may disrupt the normal development of many different parts of the body. This can lead to the many signs and symptoms associated with Proud syndrome.",False,6444.6,0.14285714285714285,0.24,6,4,0.75,0.0,0.9999999999,0.16666666666666666,0.3333333333333333,1.0,False,True,False,False,0.1868131868131868,0.1648351648351648
P3_Multi_Query_Expansion,What are the symptoms of Localized scleroderma ?,symptoms,The provided context does not contain enough information to answer this question reliably. Please consult a qualified healthcare professional before making any clinical decisions.,"What are the signs and symptoms of Localized scleroderma? Signs and symptoms of morphea, include: Hardening of the skin. Thickening of the skin. Discoloration of the affected skin to look lighter or darker than the surrounding area.  The first signs of the disease are reddish patches of skin that thicken into firm, oval-shaped areas. The center of each patch becomes ivory colored with violet borders. These patches sweat very little and have little hair growth. Patches appear most often on the chest, stomach, and back. Sometimes they appear on the face, arms, and legs. Morphea usually affects only the uppermost layers of your skin, but in some cases may involve fatty or connective tissue below your skin. Morphea can be either localized or generalized. Localized morphea limits itself to one or several patches, ranging in size from a half-inch to 12 inches in diameter. The condition sometimes appears on areas treated by radiation therapy. Some people have both morphea and linear scleroderma (which is characterized by a single line or band of thickened and/or abnormally colored skin). The disease is referred to as generalized morphea when the skin patches become very hard and dark and spread over larger areas of the body. The Human Phenotype Ontology provides the following list of signs and symptoms for Localized scleroderma. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Dry skin 90% Hypopigmented skin patches 90% Skeletal muscle atrophy 50% Camptodactyly of toe 7.5% Lower limb asymmetry 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",False,4877.1,0.022123893805309734,0.16,6,4,0.0,0.0,0.8766666666491334,0.6538461538461539,1.0,0.5,False,True,False,False,0.025806451612903222,0.025806451612903222
P3_Multi_Query_Expansion,What are the symptoms of Mitochondrial trifunctional protein deficiency ?,symptoms,"Symptoms of mitochondrial trifunctional protein deficiency may begin during infancy or later in life. Features that occur during infancy include:

- Feeding difficulties
- Lack of energy (lethargy)
- Low blood sugar (hypoglycemia)
- Weak muscle tone (hypotonia)
- Liver problems

Infants with this disorder are also at high risk for serious complications such as:

- Heart problems
- Breathing difficulties
- Coma
- Sudden death

Signs and symptoms that may begin after infancy include:

- Hypotonia
- Muscle pain
- Breakdown of muscle tissue
- Loss of sensation in the extremities (peripheral neuropathy)

Problems related to this deficiency can be triggered by periods of fasting or illnesses such as viral infections. The disorder is sometimes mistaken for Reye syndrome, which can develop in children recovering from viral infections like chicken pox or flu. 

Please consult a qualified healthcare professional before making any clinical decisions.","What are the signs and symptoms of Mitochondrial trifunctional protein deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for Mitochondrial trifunctional protein deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Pigmentary retinopathy 2/16 Abnormality of the amniotic fluid - Autosomal recessive inheritance - Congestive heart failure - Dilated cardiomyopathy - Elevated hepatic transaminases - Failure to thrive - Generalized muscle weakness - Hydrops fetalis - Hyperammonemia - Hypoketotic hypoglycemia - Lactic acidosis - Muscular hypotonia - Myoglobinuria - Peripheral neuropathy - Prenatal maternal abnormality - Respiratory failure - Rhabdomyolysis - Small for gestational age - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",False,7514.5,0.17721518987341772,0.24,8,4,0.95,0.9642498892400222,0.8541666666453125,0.15384615384615385,0.5,0.8947368421052632,False,True,False,False,0.2549019607843137,0.1323529411764706
P3_Multi_Query_Expansion,What are the genetic changes related to Hajdu-Cheney syndrome ?,information,The provided context does not contain enough information to answer this question reliably. Please consult a qualified healthcare professional before making any clinical decisions.,"Hajdu-Cheney syndrome is associated with mutations in the NOTCH2 gene. This gene provides instructions for making a receptor called Notch2. Receptor proteins have specific sites into which certain other proteins, called ligands, fit like keys into locks. When a ligand binds to the Notch2 receptor, it triggers signals that are important for the normal development and function of many different types of cells. Studies suggest that signaling through the Notch2 receptor is important for the early development of bones and later for bone remodeling, a normal process in which old bone is removed and new bone is created to replace it. Notch2 signaling also appears to be involved in the development of the heart, kidneys, teeth, and other parts of the body.  Mutations in a specific area near the end of the NOTCH2 gene are associated with Hajdu-Cheney syndrome. These mutations lead to a version of the Notch2 receptor that cannot be broken down normally. As a result, the receptor continues to be active even after signaling should stop. Researchers are unsure how excessive Notch2 signaling is related to the varied features of Hajdu-Cheney syndrome. They suspect that the skeletal features of the disorder, including acro-osteolysis, osteoporosis, and distinctive facial features, likely result from abnormal bone development and remodeling. Excess signaling through the overactive Notch2 receptor may increase the removal of old bone, reduce the formation of new bone, or both. It is less clear how the overactive receptor contributes to the other signs and symptoms of this condition.",False,6004.6,0.03676470588235294,0.16,6,4,0.5,0.0,0.9666666666473333,0.0,0.0,0.0,False,True,False,False,0.04332129963898917,0.028880866425992777
P3_Multi_Query_Expansion,What are the treatments for Ataxia ?,treatment,"The treatments for ataxia vary depending on the specific type of ataxia. Generally, there is no cure for ataxia, and treatment is typically symptomatic and supportive. 

For A-T (Ataxia-Telangiectasia), treatment includes:
- Physical and occupational therapy to maintain flexibility.
- Speech therapy to help control airflow to the vocal cords.
- Gamma-globulin injections if immunoglobulin levels are sufficiently reduced.
- High-dose vitamin regimens and antioxidants like alpha lipoic acid may also be used.

For OPCA (Olivopontocerebellar Atrophy), treatment may involve:
- Medications to address ataxia, tremor, and rigidity.
- Specific treatments for symptoms such as stiffness, spasms, sleep disorders, and depression.
- Physical therapy to establish exercise routines and assistive devices for daily activities.

For Friedreich's ataxia, while there is no effective cure, treatments may include:
- Medications for diabetes and heart problems.
- Orthopedic treatments for foot deformities and scoliosis.
- Physical therapy to prolong the use of limbs.

For spinocerebellar ataxia 2 (SCA2), supportive treatment includes:
- Staying physically active and maintaining a healthy weight.
- Using adaptive equipment for mobility.
- Levodopa for movement problems and magnesium for muscle cramping.

For chorea-acanthocytosis, treatment is symptomatic and may include:
- Botulinum toxin for dystonia.
- Feeding assistance and speech therapy.
- Medications for seizures and mental health support.

Overall, supportive therapies such as physical, occupational, and speech therapy, along with proper nutrition, are essential across various types of ataxia. 

Please consult a qualified healthcare professional before making any clinical decisions.","There is no cure for the hereditary ataxias. If the ataxia is caused by another condition, that underlying condition is treated first. For example, ataxia caused by a metabolic disorder may be treated with medications and a controlled diet. Vitamin deficiency is treated with vitamin therapy. A variety of drugs may be used to either effectively prevent symptoms or reduce the frequency with which they occur. Physical therapy can strengthen muscles, while special devices or appliances can assist in walking and other activities of daily life.",False,1740850.4,0.375,0.32,8,4,1.0,0.917896307168327,0.9761904761742063,0.5,0.0,1.0,False,True,False,False,0.2830188679245283,0.14465408805031446
P3_Multi_Query_Expansion,How many people are affected by Mainzer-Saldino syndrome ?,frequency,The provided context does not contain enough information to answer this question reliably. Please consult a qualified healthcare professional before making any clinical decisions.,Mainzer-Saldino syndrome is a rare disorder; its prevalence is unknown. At least 20 cases have been reported.,False,6624.1,0.0625,0.16,10,4,0.0,0.0,0.0,0.5,1.0,0.0,False,True,False,False,0.04761904761904762,0.04761904761904762
