question,qtype,generated_answer,ground_truth,blocked,latency_ms,word_overlap,safety_compliance,num_docs,expanded_queries,ragas_faithfulness,ragas_answer_relevance,ragas_context_precision,ragas_context_recall,deepeval_hallucination,deepeval_relevance,failure_missing_evidence,failure_noisy_evidence,failure_unsupported_claims,failure_unsafe_tone,rouge1_f,rougeL_f,bertscore_f1
How to diagnose Plasma Cell Neoplasms (Including Multiple Myeloma) ?,general,"The diagnosis of plasma cell neoplasms, including multiple myeloma, typically involves tests that examine the blood, bone marrow, and urine. These tests are used to detect and diagnose the presence of abnormal plasma cells or myeloma cells. The specific tests may include:

1. **Blood Tests**: To check for abnormal levels of certain proteins, such as M protein, and to assess kidney function and blood cell counts.
2. **Bone Marrow Examination**: A sample of bone marrow may be taken to look for abnormal plasma cells.
3. **Urine Tests**: To detect the presence of M protein or other abnormal proteins.

These diagnostic tests help in identifying the presence and extent of the disease, which is crucial for determining the appropriate treatment options and prognosis.

Please consult a qualified healthcare professional before making any clinical decisions.","Tests that examine the blood, bone marrow, and urine are used to detect (find) and diagnose multiple myeloma and other plasma cell neoplasms. The following tests and procedures may be used:         -   Physical exam and history : An exam of the body to check general signs of health, including checking for signs of disease, such as lumps or anything else that seems unusual. A history of the patients health habits and past illnesses and treatments will also be taken.    -  Blood and urine immunoglobulin studies: A procedure in which a blood or urine sample is checked to measure the amounts of certain antibodies (immunoglobulins). For multiple myeloma, beta-2-microglobulin, M protein, free light chains, and other proteins made by the myeloma cells are measured. A higher-than-normal amount of these substances can be a sign of disease.    -   Bone marrow aspiration and biopsy : The removal of bone marrow, blood, and a small piece of bone by inserting a hollow needle into the hipbone or breastbone. A pathologist views the bone marrow, blood, and bone under a microscope to look for abnormal cells. The following test may be done on the sample of tissue removed during the bone marrow aspiration and biopsy:                -  Cytogenetic analysis : A test in which cells in a sample of bone marrow are viewed under a microscope to look for certain changes in the chromosomes. Other tests, such as fluorescence in situ hybridization (FISH) and flow cytometry, may also be done to look for certain changes in the chromosomes.             -   Skeletal bone survey: In a skeletal bone survey, x-rays of all the bones in the body are taken. The x-rays are used to find areas where the bone is damaged. An x-ray is a type of energy beam that can go through the body and onto film, making a picture of areas inside the body.     -   Complete blood count (CBC) with differential : A procedure in which a sample of blood is drawn and checked for the following:               - The number of red blood cells and platelets.      - The number and type of white blood cells.      - The amount of hemoglobin (the protein that carries oxygen) in the red blood cells.      -  The portion of the blood sample made up of red blood cells.               -   Blood chemistry studies : A procedure in which a blood sample is checked to measure the amounts of certain substances, such as calcium or albumin, released into the blood by organs and tissues in the body. An unusual (higher or lower than normal) amount of a substance can be a sign of disease.    -  Twenty-four-hour urine test: A test in which urine is collected for 24 hours to measure the amounts of certain substances. An unusual (higher or lower than normal) amount of a substance can be a sign of disease in the organ or tissue that makes it. A higher than normal amount of protein may be a sign of multiple myeloma.     -   MRI (magnetic resonance imaging): A procedure that uses a magnet, radio waves, and a computer to make a series of detailed pictures of areas inside the body. This procedure is also called nuclear magnetic resonance imaging (NMRI). An MRI of the spine and pelvis may be used to find areas where the bone is damaged.    -   CT scan (CAT scan): A procedure that makes a series of detailed pictures of areas inside the body, such as the spine, taken from different angles. The pictures are made by a computer linked to an x-ray machine. A dye may be injected into a vein or swallowed to help the organs or tissues show up more clearly. This procedure is also called computed tomography, computerized tomography, or computerized axial tomography.     -   PET-CT scan : A procedure that combines the pictures from a positron emission tomography (PET) scan and a computed tomography (CT) scan. The PET and CT scans are done at the same time with the same machine. The combined scans give more detailed pictures of areas inside the body, such as the spine, than either scan gives by itself.",False,10946.2,0.183206106870229,0.32,4,4,0.9166666666666666,0.871114446487447,0.999999999975,0.08333333333333333,0.0,1.0,True,True,False,False,0.2319201995012469,0.1521197007481297,0.0
What causes Thanatophoric dysplasia ?,general,"Thanatophoric dysplasia is caused by mutations in the FGFR3 gene. It is considered an autosomal dominant disorder, meaning that one mutated copy of the FGFR3 gene in each cell is sufficient to cause the condition. However, almost all cases result from new mutations in the FGFR3 gene and occur in individuals with no family history of the disorder. [Source: Thanatophoric dysplasia 0006057.xml]

Please consult a qualified healthcare professional before making any clinical decisions.","What causes thanatophoric dysplasia? Thanatophoric dysplasia is caused by mutations in the FGFR3 gene. This gene provides instructions for making a protein that is involved in the development and maintenance of bone and brain tissue. Mutations in this gene cause the FGFR3 protein to be overly active, which leads to the severe problems with bone growth that are seen in thanatophoric dysplasia. It is not known how FGFR3 mutations cause the brain and skin abnormalities associated with this disorder.",False,8400.9,0.40384615384615385,0.16,4,4,0.8333333333333334,0.9633921450290359,0.4166666666458333,0.4,0.0,0.8333333333333334,False,True,False,False,0.4836601307189542,0.2745098039215686,0.0
Is Henoch-Schonlein purpura inherited ?,general,"The provided context does not contain enough information to answer this question reliably. There is no mention of the inheritance pattern of Henoch-Schonlein purpura in the given sources. 

Please consult a qualified healthcare professional before making any clinical decisions.",Can Henoch-Schonlein purpura be inherited? The cause of Henoch-Schonlein purpura is currently unknown.  Some evidence suggests that genetic predisposition may contribute to the development of this disease in some cases.  Only a few families with multiple relatives affected by HSP have been reported in the medical literature.  The association between particular genes and a slight increase in the chance of developing HSP has not been proven.,False,9418.3,0.19230769230769232,0.16,4,4,0.3333333333333333,0.0,0.3333333333,0.4,0.25,1.0,False,True,False,False,0.2777777777777778,0.14814814814814817,0.0
What are the treatments for Pineal cyst ?,general,"The treatment for pineal cysts is typically only considered when the cysts are causing symptoms. In such cases, the recommended treatments may include surgery, stereotactic aspiration, or endoscopic treatment. Most people with pineal cysts do not experience any signs or symptoms, and therefore, treatment is not usually necessary. Please consult a qualified healthcare professional before making any clinical decisions.","How might pineal cysts be treated? The best treatment options for pineal cysts depend on many factors, including the size of the cyst and whether or not it is associated with symptoms. For example, people with pineal cysts that do not cause symptoms may not require any form of treatment. However, they may need to have regular check-ups with a physician and follow up imaging if they have a large cyst (greater than 10-14 mm) or develop symptoms that could be related to the cyst. Treatment is often recommended for those individuals with pineal cysts that cause hydrocephalus; neurological symptoms such as headache or disturbance of vision; or enlargement of the cyst over time. Treatment may include surgery to remove the cyst, sometimes followed by the placement of a ventriculoperitoneal shunt. Aspiration of the contents of the cyst using ultrasound guidance has been explored as an alternative approach to surgery, and more recently, endoscopic procedures have been used. Radiation therapy may be recommended for cysts that recur after treatment. What is the appropriate follow-up for a pineal cyst found incidentally on MRI? There is limited information about what happens to a pineal cyst over time.  Several studies have shown that most pineal cysts remain stable and do not increase in size or cause symptoms later in life.  One study found that larger cysts were more likely to decrease in size over time, and there is currently no evidence that larger cysts are more likely to cause symptoms.   Because guidelines for management depend on an understanding of the typical course of a condition, and currently there is limited information about pineal cysts, there is some debate about the most appropriate way to manage these cysts.  Some studies do not recommend repeated magnetic resonance imaging (MRI) of the cyst.  Other studies state that repeated imaging of a pineal cyst is not required.  Another approach is for individuals with a pineal cyst to have regular check-ups with their personal doctor; if at any point new symptoms arise that may be related to the pineal cyst, repeat imaging should be done.",False,8258.3,0.14619883040935672,0.32,4,4,0.8571428571428571,0.0,0.999999999975,0.4375,0.0,1.0,True,True,False,False,0.1951219512195122,0.15121951219512195,0.0
What causes Proud syndrome ?,general,Proud syndrome is caused by changes (mutations) in the ARX gene and is inherited in an X-linked recessive manner [Source: Proud syndrome 0005119.xml]. Please consult a qualified healthcare professional before making any clinical decisions.,"What causes Proud syndrome? Proud syndrome is caused by changes (mutations) in the ARX gene, which encodes a protein that regulates the activity of other genes. This protein is especially important during early embryonic development since it is thought to be involved in the formation of many different body structures such as the pancreas, testes, brain, and muscles used for movement (skeletal muscles). For example, the protein helps regulate the process by which cells mature to carry out specific functions (differentiation) within the pancreas, testes, and muscles. In the developing brain, it plays many different roles such as assisting with the movement of neurons to their final locations. Specific changes in the ARX gene impair the function of the protein, which may disrupt the normal development of many different parts of the body. This can lead to the many signs and symptoms associated with Proud syndrome.",False,7545.5,0.14285714285714285,0.16,4,4,0.75,0.0,0.49999999995,0.16666666666666666,0.0,0.6666666666666666,False,True,False,False,0.1868131868131868,0.1648351648351648,0.0
What are the symptoms of Localized scleroderma ?,general,"The provided context does not contain enough information to answer this question reliably. It mentions that localized scleroderma is characterized by thickening of the skin due to excessive collagen deposits, but it does not provide a detailed list of specific symptoms associated with localized scleroderma.

Please consult a qualified healthcare professional before making any clinical decisions.","What are the signs and symptoms of Localized scleroderma? Signs and symptoms of morphea, include: Hardening of the skin. Thickening of the skin. Discoloration of the affected skin to look lighter or darker than the surrounding area.  The first signs of the disease are reddish patches of skin that thicken into firm, oval-shaped areas. The center of each patch becomes ivory colored with violet borders. These patches sweat very little and have little hair growth. Patches appear most often on the chest, stomach, and back. Sometimes they appear on the face, arms, and legs. Morphea usually affects only the uppermost layers of your skin, but in some cases may involve fatty or connective tissue below your skin. Morphea can be either localized or generalized. Localized morphea limits itself to one or several patches, ranging in size from a half-inch to 12 inches in diameter. The condition sometimes appears on areas treated by radiation therapy. Some people have both morphea and linear scleroderma (which is characterized by a single line or band of thickened and/or abnormally colored skin). The disease is referred to as generalized morphea when the skin patches become very hard and dark and spread over larger areas of the body. The Human Phenotype Ontology provides the following list of signs and symptoms for Localized scleroderma. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Dry skin 90% Hypopigmented skin patches 90% Skeletal muscle atrophy 50% Camptodactyly of toe 7.5% Lower limb asymmetry 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",False,7271.4,0.08849557522123894,0.16,4,4,0.25,0.0,0.999999999975,0.6538461538461539,0.25,0.75,False,False,False,False,0.10462776659959758,0.07243460764587525,0.0
What are the symptoms of Mitochondrial trifunctional protein deficiency ?,general,"Mitochondrial trifunctional protein deficiency is characterized by a range of symptoms that can begin during infancy or later in life. In infancy, symptoms may include:

- Feeding difficulties
- Lack of energy (lethargy)
- Low blood sugar (hypoglycemia)
- Weak muscle tone (hypotonia)
- Liver problems

Infants with this disorder are also at high risk for serious heart problems, breathing difficulties, coma, and sudden death. 

Symptoms that may begin after infancy include:

- Hypotonia
- Muscle pain
- Breakdown of muscle tissue
- Loss of sensation in the extremities (peripheral neuropathy)

Problems related to this condition can be triggered by periods of fasting or illnesses such as viral infections. The disorder is sometimes mistaken for Reye syndrome, which is a severe disorder that may develop in children recovering from viral infections like chickenpox or flu [Source: mitochondrial trifunctional protein deficiency 0000665.xml].

Please consult a qualified healthcare professional before making any clinical decisions.","What are the signs and symptoms of Mitochondrial trifunctional protein deficiency? The Human Phenotype Ontology provides the following list of signs and symptoms for Mitochondrial trifunctional protein deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Pigmentary retinopathy 2/16 Abnormality of the amniotic fluid - Autosomal recessive inheritance - Congestive heart failure - Dilated cardiomyopathy - Elevated hepatic transaminases - Failure to thrive - Generalized muscle weakness - Hydrops fetalis - Hyperammonemia - Hypoketotic hypoglycemia - Lactic acidosis - Muscular hypotonia - Myoglobinuria - Peripheral neuropathy - Prenatal maternal abnormality - Respiratory failure - Rhabdomyolysis - Small for gestational age - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",False,9399.0,0.17088607594936708,0.24,4,4,0.95,0.9642641166388293,0.99999999995,0.14285714285714285,0.0,0.8947368421052632,True,False,False,False,0.2857142857142857,0.1380952380952381,0.0
What are the genetic changes related to Hajdu-Cheney syndrome ?,general,"The provided context does not contain enough information to answer this question reliably. It mentions that Hajdu-Cheney syndrome and serpentine fibula-polycystic kidney syndrome (SFPKS) are associated with mutations in the same gene, but it does not specify which gene is involved or the nature of the genetic changes.

Please consult a qualified healthcare professional before making any clinical decisions.","Hajdu-Cheney syndrome is associated with mutations in the NOTCH2 gene. This gene provides instructions for making a receptor called Notch2. Receptor proteins have specific sites into which certain other proteins, called ligands, fit like keys into locks. When a ligand binds to the Notch2 receptor, it triggers signals that are important for the normal development and function of many different types of cells. Studies suggest that signaling through the Notch2 receptor is important for the early development of bones and later for bone remodeling, a normal process in which old bone is removed and new bone is created to replace it. Notch2 signaling also appears to be involved in the development of the heart, kidneys, teeth, and other parts of the body.  Mutations in a specific area near the end of the NOTCH2 gene are associated with Hajdu-Cheney syndrome. These mutations lead to a version of the Notch2 receptor that cannot be broken down normally. As a result, the receptor continues to be active even after signaling should stop. Researchers are unsure how excessive Notch2 signaling is related to the varied features of Hajdu-Cheney syndrome. They suspect that the skeletal features of the disorder, including acro-osteolysis, osteoporosis, and distinctive facial features, likely result from abnormal bone development and remodeling. Excess signaling through the overactive Notch2 receptor may increase the removal of old bone, reduce the formation of new bone, or both. It is less clear how the overactive receptor contributes to the other signs and symptoms of this condition.",False,7432.3,0.15441176470588236,0.16,4,4,0.6,0.0,0.999999999975,0.1111111111111111,0.0,0.5,False,True,False,False,0.1910828025477707,0.10828025477707005,0.0
What are the treatments for Ataxia ?,general,The provided context does not contain enough information to answer this question reliably. It discusses the symptoms and causes of ataxia but does not provide details on treatments. Please consult a qualified healthcare professional before making any clinical decisions.,"There is no cure for the hereditary ataxias. If the ataxia is caused by another condition, that underlying condition is treated first. For example, ataxia caused by a metabolic disorder may be treated with medications and a controlled diet. Vitamin deficiency is treated with vitamin therapy. A variety of drugs may be used to either effectively prevent symptoms or reduce the frequency with which they occur. Physical therapy can strengthen muscles, while special devices or appliances can assist in walking and other activities of daily life.",False,6796.2,0.109375,0.16,4,4,0.75,0.0,0.9999999999,0.0,1.0,1.0,True,True,False,False,0.144,0.08,0.0
How many people are affected by Mainzer-Saldino syndrome ?,general,The provided context does not contain enough information to answer this question reliably. Please consult a qualified healthcare professional before making any clinical decisions.,Mainzer-Saldino syndrome is a rare disorder; its prevalence is unknown. At least 20 cases have been reported.,False,8494.1,0.0625,0.16,4,4,0.5,0.0,0.0,0.5,0.0,0.5,False,True,False,False,0.04761904761904762,0.04761904761904762,0.0
